Date,# Leads META,Spent META,CPL META,# closing META,Conversion (%) META,CPA META,# Leads Total,CPL Total,# closing Total,Conversion (%) total,# C.Découverte,# C.Essentiel,# C.Premium,Acomptes (payés),# Events,# E.Découverte,# E.Essentiel,# E.Premium,Total (B2C),Total (B2B),Total (event),Acomptes (event),Restants (event),CA (Acomptes + Restants),CA généré (Event + Transport),€ transport (Ev. Réalisés),Coût packs (Ev. Réalisés),Heures étudiants,Coût staff étudiants,Essence,Comm Commerciaux,Charges fixes mensuelles,Marge brute opé. (Events),Marge nette opé. (Events),Cashflow Brut (mensuel),Cashflow Brut %,Cashflow Net (mensuel),Cashflow Net (%)
01-2025,,"750,00 €","0,00 €",0,"0,00%","35,00 €",,"0,00 €",,,0,0,0,"0,00 €",4,1,1,2,"355,37 €","1 561,98 €","1 917,36 €","0,00 €","1 917,36 €","1 917,36 €",,"66,12 €","254,37 €","19,00","0,00 €","168,60 €","0,00 €","  905,36  € ","1 662,99 €","1 494,39 €","744,39 €",,"-160,97 €",
02-2025,,"750,00 €","0,00 €",0,"0,00%","35,00 €",,"0,00 €",,,0,0,0,"0,00 €",0,0,0,0,"0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €",,"0,00 €","0,00 €","0,00","0,00 €","0,00 €","0,00 €","  905,36  € ","0,00 €","0,00 €","-750,00 €",,"-1 655,36 €",
03-2025,,"750,00 €","0,00 €",0,"0,00%","35,00 €",,"0,00 €",,,0,0,0,"0,00 €",1,0,0,1,"479,34 €","0,00 €","479,34 €","0,00 €","479,34 €","479,34 €",,"66,12 €","92,50 €","5,00","0,00 €","47,40 €","0,00 €","  905,36  € ","386,84 €","339,44 €","-410,56 €",,"-1 315,92 €",
04-2025,,"750,00 €","0,00 €",0,"0,00%","35,00 €",,"0,00 €",,,0,0,0,"0,00 €",3,0,0,3,"1 231,40 €","0,00 €","1 231,40 €","0,00 €","1 231,40 €","1 231,40 €",,"239,67 €","277,50 €","17,50","0,00 €","163,20 €","0,00 €","  905,36  € ","953,90 €","790,70 €","40,70 €",,"-864,66 €",
05-2025,,"750,00 €","0,00 €",0,"0,00%","35,00 €",,"0,00 €",,,0,0,0,"0,00 €",7,0,2,5,"3 070,25 €","0,00 €","3 070,25 €","0,00 €","3 070,25 €","3 070,25 €",,"260,33 €","555,00 €","23,00","0,00 €","131,40 €","0,00 €","  905,36  € ","2 515,25 €","2 383,85 €","1 633,85 €",,"728,49 €",
06-2025,,"750,00 €","0,00 €",0,"0,00%","35,00 €",,"0,00 €",,,0,0,0,"0,00 €",5,1,1,3,"1 074,38 €","826,45 €","1 900,83 €","0,00 €","1 900,83 €","1 900,83 €",,"82,64 €","346,87 €","10,50","0,00 €","58,80 €","0,00 €","  905,36  € ","1 553,96 €","1 495,16 €","745,16 €",,"-160,20 €",
07-2025,,"750,00 €","0,00 €",0,"0,00%","35,00 €",,"0,00 €",,,0,0,0,"0,00 €",3,0,0,3,"1 524,79 €","0,00 €","1 524,79 €","0,00 €","1 524,79 €","1 524,79 €",,"285,12 €","277,50 €","20,50","0,00 €","198,00 €","0,00 €","  905,36  € ","1 247,29 €","1 049,29 €","299,29 €",,"-606,07 €",
08-2025,,"750,00 €","0,00 €",1,"0,00%","35,00 €",,"0,00 €",,,0,0,1,"123,97 €",11,0,4,6,"5 314,05 €","0,00 €","5 314,05 €","0,00 €","5 314,05 €","5 438,02 €",,"809,92 €","740,00 €","56,50","0,00 €","522,00 €","0,00 €","  905,36  € ","4 574,05 €","4 052,05 €","3 426,02 €",,"2 520,66 €",
09-2025,217,"488,24 €","2,25 €",15,"6,91%","32,55 €",217,"2,25 €",15,"6,91%",4,8,3,"1 859,50 €",10,1,3,6,"2 884,30 €","2 495,87 €","5 380,17 €","123,97 €","5 256,20 €","7 115,70 €","5 330,58 €","578,93 €","716,87 €","45,50","0,00 €","343,80 €","0,00 €","  905,36  € ","4 663,30 €","4 319,50 €","5 566,79 €",,"4 661,43 €",
10-2025,278,"973,43 €","3,50 €",23,"8,27%","42,32 €",278,"3,50 €",23,"8,27%",10,9,4,"2 851,24 €",9,4,2,3,"2 500,00 €","760,33 €","3 260,33 €","743,80 €","2 516,53 €","5 367,77 €","8 396,69 €","450,41 €","462,48 €","36,50","511,00 €","266,40 €","170,00 €","  905,36  € ","2 797,85 €","2 020,45 €","2 984,46 €","55,60%","2 079,10 €","38,73%"
